International Affairs,Insurance,American Values,Education,Military,Tax and Energy
0.0007608877,0.00076055207,0.00076130766,0.00076268,0.00075944146,0.9961951
0.0015966559,0.0015974678,0.8530545,0.0016011749,0.14055991,0.0015902827
0.0023335444,0.002327317,0.9883494,0.0023278098,0.0023351938,0.0023268012
0.0015982297,0.0015934699,0.9920096,0.001597573,0.0016084117,0.0015926972
0.001153614,0.0011519871,0.28456998,0.0011498724,0.7108235,0.0011510439
0.00049856317,0.8843743,0.0004971974,0.0004993171,0.060871217,0.053259406
0.0005598722,0.8273325,0.000562064,0.13054432,0.0005602505,0.040441047
0.052332986,0.70636034,0.00029865676,0.00029917262,0.12848932,0.1122195
0.14400218,0.0006686455,0.23820843,0.0006679173,0.615782,0.00067082787
0.082262576,0.00068243145,0.5312402,0.00068473036,0.38444296,0.0006871009
0.0006826961,0.00068465824,0.5638661,0.03644424,0.39763984,0.00068253744
0.06204076,0.0002809882,0.39599308,0.00028066203,0.48856413,0.052840434
0.30429846,0.0002714042,0.4572278,0.1749049,0.026719369,0.036578074
0.00070155924,0.22251764,0.071229465,0.122567795,0.0007004001,0.58228314
0.11217405,0.0003817039,0.48920095,0.00038217142,0.39747947,0.0003816354
0.0012966616,0.21930468,0.3562162,0.1325115,0.18188989,0.10878107
0.0503347,0.020101385,0.5573829,0.00047652028,0.3712275,0.00047703242
0.0003556595,0.00035561903,0.68898094,0.029986467,0.1002131,0.18010817
0.00021355381,0.4122001,0.033429276,0.077253275,0.016909063,0.4599948
0.3143896,0.04710821,0.15025318,0.13078143,0.35722587,0.00024169884
0.0027671992,0.2603871,0.6469938,0.08435425,0.002749598,0.002748078
0.04641734,0.0007099876,0.6938855,0.050986893,0.20728873,0.0007114899
0.5379711,0.0003722086,0.141824,0.016552642,0.037126128,0.2661539
0.27279302,0.37094143,0.11578582,0.034141935,0.20600593,0.00033186478
0.00018996293,0.19273518,0.021275979,0.02390446,0.00018967506,0.76170474
0.00053087965,0.033499174,0.42786086,0.21734917,0.0005143938,0.3202455
0.37422,0.4093329,0.04107173,0.118426286,0.056628063,0.00032105017
